Name des Elements;Name des Elements (nach IUPAC);Symbol;Protonenzahl;Masse;Dichte;Schmelztemperatur;Sidetemperatur;Zahl natürlicher Isotope;Erste Ionisierungsenergie;Ionenradius;Kovalenzradius;Gitterenergie;linearer Ausdehungskoeffizient;Elastizitätsmodul;Elektronenkonfiguration;Kristallstruktur
Einsteinium;Einsteinium;Es;99;252,083  ;;;;0;6,37;;;;;;[Rn]5f11 7s2;?
Fermium;Fermium;Fm;100;257,095  ;;;;0;6,50;;;;;;[Rn]5f12 7s2;?
Mendelevium;Mendelevium;Mv;101;258,099  ;;;;0;6,58;;;;;;[Rn]5f13 7s2;?
Nobelium;Nobelium;No;102;259,101  ;;;;0;6,65;;;;;;[Rn]5f14 7s2;?
Lawrentium;Lawrentium;Lr;103;262,110  ;;;;0;;;;;;;[Rn]5f14 6d 7s2;?
Rutherfordium;Rutherfordium;Rf;104;261,109  ;;;;0;;;;;;;[Rn]5f14 6d2 7s2;?
Dubnium;Dupnium;Db;105;262,114  ;;;;0;;;;;;;[Rn]5f14 6d3 7s2;?
Seaborgium;Seaborgium;Sg;106;263,119  ;;;;0;;;;;;;[Rn]5f14 6d4 7s2;?
Bohrium;Bohrium;Bh;107;262,123  ;;;;0;;;;;;;[Rn]5f14 6d5 7s2;?
Hassium;Hassium;Hs;108;265,131  ;;;;0;;;;;;;[Rn]5f14 6d6 7s2;?
Meitnerium;Meitnerium;Mt;109;266,138  ;;;;0;;;;;;;[Rn]5f14 6d7 7s2;?
